Date,Crypto_Volume,Crypto_Market_Cap
2019-11-29,30945334501.101307,178681684389.41043
2019-11-30,29504221861.913925,179408362729.4222
2019-12-01,30304298154.859867,173087688914.86798
2019-12-02,28023340790.392036,172062000298.55902
2019-12-03,24602772866.97874,172033413513.78143
2019-12-04,28190674801.72886,170641268241.97382
2019-12-05,33613581795.594635,171559944238.09668
2019-12-06,28170368992.125435,173336276677.5279
2019-12-07,26938789372.790318,175965303658.34555
2019-12-08,23425875699.671204,175354965275.95306
2019-12-09,25115468515.983147,174843989641.946
2019-12-10,28022542363.565327,171272081034.38266
2019-12-11,26070891414.756844,169341656555.7055
2019-12-12,27050088389.94076,168284088791.01736
2019-12-13,24712859721.025635,169482552333.05957
2019-12-14,23836811092.96064,168089058495.65582
2019-12-15,24175784165.620396,166399493701.0086
2019-12-16,24816222808.1946,164707224886.42416
